Local time,Open,High,Low,Close,Volume
31.12.2023 23:00:00.000 GMT+0100,2.4931,2.4931,2.4931,2.4931,0
01.01.2024 23:00:00.000 GMT+0100,2.6067,2.6692,2.5211,2.5677,3.319899999999999
02.01.2024 23:00:00.000 GMT+0100,2.5707,2.7169,2.5320,2.6810,3.1118
03.01.2024 23:00:00.000 GMT+0100,2.6832,2.8592,2.6759,2.8419,3.9205999999999994
04.01.2024 23:00:00.000 GMT+0100,2.8387,2.9007,2.6797,2.8989,3.9355
05.01.2024 23:00:00.000 GMT+0100,2.8989,2.8989,2.8989,2.8989,0
06.01.2024 23:00:00.000 GMT+0100,2.8989,2.8989,2.8989,2.8989,0
07.01.2024 23:00:00.000 GMT+0100,2.9521,3.0091,2.6911,2.9372,5.0032
08.01.2024 23:00:00.000 GMT+0100,2.9359,3.3880,2.8797,3.1557,5.520700000000001
09.01.2024 23:00:00.000 GMT+0100,3.1617,3.2201,2.9539,3.0249,4.6114
10.01.2024 23:00:00.000 GMT+0100,3.0277,3.2281,2.9399,3.1111,3.9236999999999997
11.01.2024 23:00:00.000 GMT+0100,3.1119,3.3712,3.0969,3.3270,3.7688
12.01.2024 23:00:00.000 GMT+0100,3.3270,3.3270,3.3270,3.3270,0
13.01.2024 23:00:00.000 GMT+0100,3.3270,3.3270,3.3270,3.3270,0
14.01.2024 23:00:00.000 GMT+0100,3.1111,3.1822,3.0529,3.1029,1.7256
15.01.2024 23:00:00.000 GMT+0100,3.0949,3.1122,2.8171,2.8249,4.2509999999999994
16.01.2024 23:00:00.000 GMT+0100,2.8372,2.9552,2.7587,2.8622,2.9040000000000004
17.01.2024 23:00:00.000 GMT+0100,2.8749,2.9551,2.6659,2.7112,2.8277
18.01.2024 23:00:00.000 GMT+0100,2.7039,2.7052,2.5119,2.5142,3.2507000000000006
19.01.2024 23:00:00.000 GMT+0100,2.5142,2.5142,2.5142,2.5142,0
20.01.2024 23:00:00.000 GMT+0100,2.5142,2.5142,2.5142,2.5142,0
21.01.2024 23:00:00.000 GMT+0100,2.3790,2.4662,2.3052,2.4321,2.9368
22.01.2024 23:00:00.000 GMT+0100,2.4290,2.4879,2.3220,2.4867,2.4331
23.01.2024 23:00:00.000 GMT+0100,2.4920,2.6890,2.4909,2.6880,3.2942
24.01.2024 23:00:00.000 GMT+0100,2.2957,2.3272,2.1560,2.1837,3.2196000000000002
25.01.2024 23:00:00.000 GMT+0100,2.1850,2.2292,2.0917,2.1729,2.5739
26.01.2024 23:00:00.000 GMT+0100,2.1729,2.1729,2.1729,2.1729,0
27.01.2024 23:00:00.000 GMT+0100,2.1729,2.1729,2.1729,2.1729,0
28.01.2024 23:00:00.000 GMT+0100,2.1422,2.1610,2.0440,2.0511,3.2649
